"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"1","general-dentistry page","https://westhollywooddentalstudio.com/west-hollywood-ca/general-dentistry/","Change","High","Page title","West Hollywood Smile Makeovers & Expert Care!","General Dentistry in West Hollywood, CA | West Hollywood Dental Studio","The title advertises smile makeovers, but this page is about general dentistry, so it misleads visitors and overlaps with the separate smile makeover page."
"2","meet-our-dental-team page","https://westhollywooddentalstudio.com/meet-our-dental-team/","Change","High","Page title","Best Dentist in West Hollywood, CA | 5 Star Rating | West Hollywood Dental Studio","Meet Our Dental Team | West Hollywood Dental Studio","The title is a word-for-word copy of the West Hollywood location page and repeats the home page phrase, so a team page ends up competing instead of describing the team."
"3","cosmetic-dentist page (duplicate of cosmetic-dentistry)","https://westhollywooddentalstudio.com/west-hollywood-ca/cosmetic-dentist/","Consolidate (canonical)","High","Canonical tag","<link rel=""canonical"" href=""https://westhollywooddentalstudio.com/west-hollywood-ca/cosmetic-dentist/"" /> (currently points to itself)","Set canonical to the main page. In Yoast: edit page > Yoast SEO > Advanced > ""Canonical URL"" = https://westhollywooddentalstudio.com/west-hollywood-ca/cosmetic-dentistry/  ->  outputs in <head>: <link rel=""canonical"" href=""https://westhollywooddentalstudio.com/west-hollywood-ca/cosmetic-dentistry/"" />","A canonical keeps the page live but tells search engines the main cosmetic page is the one to show, so the two stop competing. The page has no links pointing to it, so nothing is lost, and a canonical is reversible if you change your mind."
"4","west-hollywood-ca location page","https://westhollywooddentalstudio.com/west-hollywood-ca/","Change","Medium","Page title","Best Dentist in West Hollywood, CA | 5 Star Rating | West Hollywood Dental Studio","West Hollywood Dental Studio | Our West Hollywood, CA Dental Office","This page uses the exact same title as the team page and repeats the home page phrase, so a clear, unique title stops the pages competing for the same searches."
"5","why-choose-us page","https://westhollywooddentalstudio.com/why-choose-us/","Change","Medium","Page title","Why our patients choose our dentistry in West Hollywood","Why Choose West Hollywood Dental Studio","This support page repeats the same ""dentist in West Hollywood"" phrase the home page already uses, so it competes with the home page instead of simply explaining why patients choose the practice."
"6","cosmetic-dentistry page","https://westhollywooddentalstudio.com/west-hollywood-ca/cosmetic-dentistry/","Add","Medium","Missing main heading (H1)","(No H1 on the page - the visible heading ""Cosmetic Dentistry in West Hollywood"" is only an H2)","Add an H1: Cosmetic Dentistry in West Hollywood, CA","The page has no main heading, so visitors and search engines get no clear one-line statement of what the page is, even though it covers many cosmetic treatments."
"7","dental-services page","https://westhollywooddentalstudio.com/dental-services/","Add","Medium","Missing main heading (H1)","(No H1 on the page - the visible heading ""Full Dental Services in West Hollywood"" is only an H2)","Add an H1: Dental Services in West Hollywood, CA","The page has no main heading, so there is no clear one-line statement of what the page offers."
"8","dental-insurance page","https://westhollywooddentalstudio.com/dental-insurance/","Change","Medium","Page title (wrong city)","Dental Insurance Plans Accepted in Los Angeles","Dental Insurance Accepted in West Hollywood, CA","The title says Los Angeles, but the page heading and the practice are in West Hollywood, so the city on the page is inconsistent."
"9","dental-financing page","https://westhollywooddentalstudio.com/dental-financing-affordable-payments/","Change","Medium","Page title (wrong city)","Affordable Dental Financing Options in Los Angeles","Dental Financing & Payment Plans in West Hollywood, CA","The title says Los Angeles, but the page heading and the practice are in West Hollywood, so the city on the page is inconsistent."
"10","first-visit page","https://westhollywooddentalstudio.com/first-visit/","Add","Low","Missing main heading (H1)","(No H1 on the page - the visible heading ""Your First Visit"" is only an H2)","Add an H1: Your First Visit","The page has no main heading for visitors or search engines to read as the page subject."
"11","cherry-financing page","https://westhollywooddentalstudio.com/cherry-financing/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Cherry Patient Financing","The page has no main heading at all."
"12","blogs index page","https://westhollywooddentalstudio.com/blogs/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Dental Blog","The blog listing page has no main heading."
"13","single-tooth-implant page","https://westhollywooddentalstudio.com/west-hollywood-ca/single-tooth-implant/","Change","Low","Image alt text","Dental implants in West Hollywood, CA","Close-up of a single dental implant","The image description is written as a location search phrase with the city name instead of describing what the picture shows, which reads unnaturally."
"14","restorative-dentist page","https://westhollywooddentalstudio.com/west-hollywood-ca/restorative-dentist/","Consolidate (canonical)","Medium","Canonical tag","<link rel=""canonical"" href=""https://westhollywooddentalstudio.com/west-hollywood-ca/restorative-dentist/"" /> (currently points to itself)","In Yoast > Advanced > ""Canonical URL"" = https://westhollywooddentalstudio.com/dental-services/  ->  outputs in <head>: <link rel=""canonical"" href=""https://westhollywooddentalstudio.com/dental-services/"" />","This page gets no visitors and has no links pointing to it, and it repeats the individual restorative pages (crowns, fillings, implants, dentures). The canonical sends search engines to the main dental services page."
"15","composite-fillings page","https://westhollywooddentalstudio.com/west-hollywood-ca/composite-fillings/","Consolidate (canonical)","Medium","Canonical tag","<link rel=""canonical"" href=""https://westhollywooddentalstudio.com/west-hollywood-ca/composite-fillings/"" /> (currently points to itself)","In Yoast > Advanced > ""Canonical URL"" = https://westhollywooddentalstudio.com/west-hollywood-ca/dental-fillings/  ->  outputs in <head>: <link rel=""canonical"" href=""https://westhollywooddentalstudio.com/west-hollywood-ca/dental-fillings/"" />","Composite fillings are a type of dental filling and there is a separate dental-fillings page; neither gets visitors. The canonical makes the dental-fillings page the single main page."
