"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"1","Site logo (all pages)","https://elitedentistryrsm.com/","Change","High","Image alt text (site-wide logo)","Dentist in Rancho Santa Margarita Logo","Elite Dentistry logo","The logo image uses a location search phrase as its description on every page of the site; a logo should be described by the practice name."
"2","dental-fillings page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/dental-fillings/","Change","High","Page title","Composite Fillings in Rancho Santa Margarita, CA | Elite Dentistry","Dental Fillings in Rancho Santa Margarita, CA | Elite Dentistry","The dental-fillings page carries the composite-fillings title word-for-word, so its title does not match the page and clashes with the composite-fillings page."
"3","composite-fillings page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/composite-fillings/","Consolidate (canonical)","High","Canonical tag","<link rel=""canonical"" href=""https://elitedentistryrsm.com/rancho-santa-margarita-ca/composite-fillings/"" /> (currently points to itself)","In Rank Math > edit page > Advanced > ""Canonical URL"" = https://elitedentistryrsm.com/rancho-santa-margarita-ca/dental-fillings/  ->  outputs in <head>: <link rel=""canonical"" href=""https://elitedentistryrsm.com/rancho-santa-margarita-ca/dental-fillings/"" />","Composite fillings are a type of dental filling and there is a separate dental-fillings page; neither gets visitors. The canonical makes dental-fillings the single main page. No backlinks to lose."
"4","patient-information page","https://elitedentistryrsm.com/patient-information/","Change","Medium","Page title","What to Expect on Your First Visit at Elite Dentistry in RSM","Patient Information & Resources | Elite Dentistry RSM","The title is about the first visit, but this page is a patient resources page and there is a separate first-visit page, so the title is misleading and points at the wrong page."
"5","frenectomy page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/frenectomy/","Change","Medium","Image alt text (wrong topic)","Gum Contouring in Rancho Santa Margarita, CA","Laser frenectomy procedure","On the frenectomy page an image is labeled as gum contouring and written as a location search phrase, which is both wrong and unnatural."
"6","gingival-depigmentation page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/gingival-depigmentation/","Change","Medium","Image alt text (wrong topic)","Patient with severe tooth pain needs root canal treatment in Rancho Santa Margarita, CA","Patient after gum depigmentation treatment","On the gum-depigmentation page an image is labeled as root canal treatment, which is the wrong topic and written as a location search phrase."
"7","patient-specials page","https://elitedentistryrsm.com/patient-specials/","Add","Medium","Missing main heading (H1)","(No H1 on the page)","Add an H1: New Patient Specials","The specials page has no main heading for visitors or search engines to read as the page subject."
"8","blogs index page","https://elitedentistryrsm.com/blogs/","Change","Medium","Page title (stray characters)","Dental Blogs - | Elite Dentistry","Dental Blog | Elite Dentistry","The title has a stray ""- |"" left in the middle by mistake."
"9","blogs index page","https://elitedentistryrsm.com/blogs/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Dental Blog","The blog listing page has no main heading."
"10","accessibility-statement page","https://elitedentistryrsm.com/accessibility-statement/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Accessibility Statement","The page has no main heading at all."
"11","privacy-policy page","https://elitedentistryrsm.com/privacy-policy/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Privacy Policy","The page has no main heading at all."
"12","service pages with location-keyword image alts","https://elitedentistryrsm.com/rancho-santa-margarita-ca/dental-bridge/","Change","Low","Image alt text (exact-match location keyword)","Alt written as ""<Service> in Rancho Santa Margarita, CA"" on: /dental-bridge/, /dental-inlays-and-onlays/, /internal-tooth-bleaching/, /gum-contouring/, /crown-lengthening-clp/, /sinus-lift-surgery/, /all-on-4-dental-implants/, /dental-bone-grafting/, and blog posts good-candidate-for-dental-implants & what-happens-if-i-lose-an-invisalign-aligner-tray","Rewrite each image alt as a plain description of the picture (e.g. ""Model of a dental bridge""), without the city keyword","These images are described with the service-plus-city search phrase instead of describing the picture, which reads unnaturally and repeats the location keyword."
"13","elitedentistryrsm.com page","https://elitedentistryrsm.com/","Keep","-","","","","Home page - ranks #2-7 for the main ""dentist in Rancho Santa Margarita"" searches and brings ~80% of the traffic; title and H1 match. Do not touch."
"14","contact-us page","https://elitedentistryrsm.com/contact-us/","Keep","-","","","","Contact page - ranks/gets traffic; fine as-is. Keep."
"15","about-us page","https://elitedentistryrsm.com/about-us/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"16","emergency-dentist page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/emergency-dentist/","Keep","-","","","","Emergency dentist page - ranks (#2 for ""RSM emergency dentist"", #12 emergency dentist); title and H1 match. Keep."
"17","sedation-dentistry page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/sedation-dentistry/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"18","sleep-apnea-treatment page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/sleep-apnea-treatment/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"19","tmj-and-bruxism-treatment page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/tmj-and-bruxism-treatment/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"20","retainers page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/retainers/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
"21","invisalign-clear-aligners page","https://elitedentistryrsm.com/rancho-santa-margarita-ca/invisalign-clear-aligners/","Keep","-","","","","Title and heading match the page topic; no change needed now. Keep."
